Episode,Steps,TotalReward,ActorLoss,CriticLoss,MeanValue,ValueStd,MeanReturn,ClipFraction
3056,80,27.33,-0.0275,0.0457,2.28,8.50,2.31,0.0000
3072,92,4.36,-0.0328,0.0456,16.25,16.12,14.55,0.0000
3088,82,-25.64,-0.0308,0.0674,2.92,12.50,-25.61,0.0000
3104,114,17.13,-0.0277,0.0567,7.19,12.44,12.47,0.0000
3120,85,-19.63,-0.0311,0.0587,4.09,8.44,-33.93,0.0000
3136,88,31.08,-0.0281,0.0529,33.75,12.81,35.56,0.0000
3152,109,23.08,-0.0274,0.0501,11.94,6.72,15.57,0.0000
3168,74,20.29,-0.0274,0.0435,29.88,10.94,32.48,0.0000
3184,126,26.39,-0.0278,0.0459,21.12,21.00,21.00,0.0000
3200,79,-163.94,-0.0293,0.0987,16.50,8.94,-48.10,0.0000
3216,123,-51.91,-0.0206,0.0735,-7.56,10.75,0.55,0.0000
3232,85,-86.96,-0.0308,0.0836,-17.50,12.19,-63.88,0.0000
3248,117,-101.72,-0.0309,0.0916,-18.62,14.50,-21.57,0.0000
3264,134,-92.17,-0.0407,0.0853,-31.62,15.06,-31.78,0.0000
3280,78,-97.46,-0.0342,0.0808,-31.25,7.72,-16.54,0.0000
3296,120,-52.69,-0.0343,0.0802,-50.50,11.94,-26.50,0.0000
3312,134,-82.89,-0.0365,0.0818,-4.94,16.88,-2.90,0.0000
3328,112,-16.65,-0.0270,0.0797,-22.25,14.19,-33.72,0.0000
3344,168,-3.16,-0.0304,0.0763,-31.25,22.38,-19.77,0.0000
3360,115,16.95,-0.0280,0.0548,-2.06,9.25,-0.43,0.0000
3376,119,8.27,-0.0336,0.0605,-18.25,30.00,0.00,0.0000
3392,126,32.15,-0.0231,0.0538,-6.78,36.75,2.10,0.0000
3408,96,-19.78,-0.0212,0.0554,-5.16,11.75,2.72,0.0000
3424,104,-90.99,-0.0243,0.0846,10.75,11.81,11.42,0.0000
3440,128,-13.61,-0.0334,0.0505,-11.81,12.00,-7.17,0.0000
3456,109,-12.35,-0.0352,0.0599,-3.56,18.75,-25.58,0.0000
3472,113,-3.22,-0.0361,0.0608,-31.38,12.94,-50.71,0.0000
3488,82,1.41,-0.0227,0.0546,12.00,9.12,24.56,0.0000
3504,102,-11.93,-0.0286,0.0599,13.56,11.62,-8.21,0.0000
3520,87,14.77,-0.0350,0.0552,6.16,17.12,6.77,0.0000
3536,98,-5.08,-0.0267,0.0580,15.19,16.88,21.11,0.0000
3552,97,3.08,-0.0351,0.0496,12.00,10.00,-3.46,0.0000
3568,113,31.29,-0.0311,0.0403,-6.69,25.12,2.37,0.0000
3584,107,4.82,-0.0404,0.0457,8.38,11.94,14.13,0.0000
3600,120,2.54,-0.0266,0.0498,8.06,14.38,2.37,0.0000
3616,88,-40.42,-0.0278,0.0702,6.38,15.06,-18.13,0.0000
3632,99,-121.32,-0.0351,0.0940,-21.12,10.00,-28.68,0.0000
3648,83,-35.90,-0.0284,0.0732,-29.50,8.94,-6.70,0.0000
3664,68,-18.95,-0.0310,0.0679,2.16,5.31,-17.27,0.0000
3680,112,-70.68,-0.0367,0.0735,-11.38,11.38,1.40,0.0000
3696,115,-5.40,-0.0290,0.0744,-20.88,8.88,-3.71,0.0000
3712,98,-31.31,-0.0266,0.0683,-10.25,21.50,6.09,0.0000
3728,109,39.29,-0.0239,0.0548,-18.25,19.12,-3.84,0.0000
3744,86,16.33,-0.0389,0.0437,-7.69,12.06,-0.33,0.0000
3760,103,17.54,-0.0362,0.0445,-0.95,21.88,7.87,0.0000
3776,106,0.03,-0.0403,0.0470,-5.31,9.56,5.40,0.0000
3792,125,8.55,-0.0304,0.0405,6.97,11.81,15.34,0.0000
3808,147,13.03,-0.0240,0.0477,-4.31,14.62,-4.04,0.0000
3824,98,16.50,-0.0202,0.0511,8.94,8.62,16.64,0.0000
3840,94,14.62,-0.0321,0.0564,1.03,15.38,6.93,0.0000
3856,109,22.34,-0.0318,0.0385,8.38,9.12,12.95,0.0000
3872,139,10.56,-0.0242,0.0503,-0.18,7.25,-5.22,0.0000
3888,121,12.04,-0.0299,0.0484,3.02,10.56,3.48,0.0000
3904,84,17.76,-0.0333,0.0511,20.12,6.72,13.00,0.0000
3920,92,12.60,-0.0218,0.0508,18.38,9.12,26.84,0.0000
3936,135,-24.87,-0.0230,0.0649,22.00,9.69,18.85,0.0000
3952,122,14.59,-0.0272,0.0513,8.88,8.38,9.30,0.0000
3968,105,-16.91,-0.0310,0.0613,2.98,13.88,0.85,0.0000
3984,121,-87.97,-0.0255,0.0827,23.25,9.25,25.71,0.0000
4000,131,-23.10,-0.0291,0.0655,5.91,10.06,13.32,0.0000
4016,128,-25.37,-0.0256,0.0620,4.84,10.19,11.51,0.0000
4032,106,-98.49,-0.0302,0.0876,-16.88,10.06,-9.94,0.0000
4048,133,-114.72,-0.0195,0.0930,1.78,14.38,0.46,0.0000
4064,108,-86.37,-0.0243,0.0756,-37.25,20.88,-67.30,0.0000
4080,140,-37.39,-0.0300,0.0709,-10.38,12.31,-1.22,0.0000
4096,107,5.77,-0.0206,0.0762,1.21,18.38,5.67,0.0000
4112,168,5.17,-0.0247,0.0563,-13.62,10.56,-1.22,0.0000
4128,145,26.05,-0.0255,0.0559,-1.12,19.75,8.49,0.0000
4144,123,-8.13,-0.0255,0.0712,-11.00,13.12,-21.68,0.0000
4160,134,-8.89,-0.0280,0.0618,-13.50,16.88,-11.73,0.0000
4176,89,0.53,-0.0272,0.0638,-23.12,10.00,-43.63,0.0000
4192,124,-14.30,-0.0334,0.0534,-19.75,11.38,-10.34,0.0000
4208,122,8.11,-0.0300,0.0729,-5.09,16.75,5.67,0.0000
4224,103,26.96,-0.0310,0.0546,26.62,15.19,31.99,0.0000
4240,123,35.63,-0.0327,0.0545,7.78,20.50,11.78,0.0000
4256,90,33.42,-0.0232,0.0607,52.00,12.56,39.61,0.0000
4272,121,37.28,-0.0305,0.0430,13.19,15.62,15.81,0.0000
4288,94,6.75,-0.0308,0.0460,32.25,36.25,19.33,0.0000
4304,104,-6.58,-0.0328,0.0547,32.25,22.12,31.40,0.0000
4320,250,29.65,-0.0322,0.0508,1.17,14.25,10.67,0.0000
4336,149,-29.08,-0.0318,0.0535,14.06,10.19,14.92,0.0000
4352,133,-20.36,-0.0347,0.0670,13.88,10.00,14.80,0.0000
4368,136,-20.89,-0.0417,0.0722,9.50,19.38,11.60,0.0000
4384,179,-95.96,-0.0356,0.0751,-10.75,17.62,-6.94,0.0000
4400,89,-129.72,-0.0371,0.0876,7.91,12.94,-47.24,0.0000
4416,86,-125.87,-0.0203,0.0867,-24.62,20.88,-70.80,0.0000
4432,99,-62.97,-0.0308,0.0922,-48.50,31.38,-68.92,0.0000
4448,111,-15.52,-0.0305,0.0749,-51.75,19.62,-29.45,0.0000
4464,103,-64.61,-0.0350,0.0715,-21.25,8.81,-29.13,0.0000
4480,85,10.11,-0.0350,0.0631,-52.75,15.25,-44.78,0.0000
4496,99,7.67,-0.0232,0.0667,-27.62,17.75,-22.97,0.0000
